time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-30 00:00:00+00:00,0,0,6,1
2025-07-31 00:00:00+00:00,0,0,1,1
2025-08-07 00:00:00+00:00,5,5,41,1
2025-08-08 00:00:00+00:00,3,3,1,1
2025-08-09 00:00:00+00:00,2,2,0,0
2025-08-13 00:00:00+00:00,1,1,8,2
2025-08-14 00:00:00+00:00,0,0,1,1
2025-08-16 00:00:00+00:00,1,1,0,0
2025-08-19 00:00:00+00:00,2,2,0,0
2025-08-20 00:00:00+00:00,1,1,0,0
2025-08-21 00:00:00+00:00,0,0,16,2
2025-08-22 00:00:00+00:00,0,0,2,1
2025-08-25 00:00:00+00:00,1,1,27,1
2025-08-26 00:00:00+00:00,0,0,5,1
2025-08-27 00:00:00+00:00,11,11,21,3
2025-08-28 00:00:00+00:00,2,2,0,0
2025-08-29 00:00:00+00:00,0,0,1,1
2025-09-01 00:00:00+00:00,1,1,22,5
2025-09-02 00:00:00+00:00,0,0,6,1
2025-09-03 00:00:00+00:00,0,0,3,1
2025-09-04 00:00:00+00:00,0,0,3,1
2025-09-05 00:00:00+00:00,0,0,3,1
2025-09-07 00:00:00+00:00,1,1,0,0
2025-09-08 00:00:00+00:00,1,1,12,2
2025-09-09 00:00:00+00:00,0,0,21,1
2025-09-10 00:00:00+00:00,1,1,10,1
2025-09-11 00:00:00+00:00,0,0,1,1
2025-09-17 00:00:00+00:00,0,0,3,2
